Gender,Webcam status during class,Mic status during class,Which device do you use for online classes?,Did you face any of the following issues after the initiation of online classes?,Are you able to understand the concepts through online classes?,Which teaching methodology do you prefer?,Are you interested in attending online classes?,If you are given a choice between online classes and offline classes which one will you choose?,Comments on online classes
Female,On (When teacher asks),Off (Other reason),"Phone, Laptop","Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,Not that good. Because of continuous vision getting eye strain
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,Daily 2 to 3 classes is better
Male,On (When teacher asks),On (To answer Teacher),"Laptop, Computer",No Issue,Yes,Presentations (ppt),Yes,Offline classes,"See what do I feel is even the black board teaching doesn't bring much difference. Even there also we have to sit on table like goats taking notes and listening to lectures. The main part of education is to educate, how we are getting information is not the main issue the educating people by any means is good. "
Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),No,Offline classes,
Male,Off (Untidy appearance),On (To answer Teacher),Phone,"Eye Strain, Back pain",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),Off (No mic available),Laptop,Headache,No,Black board teaching,Yes,Offline classes,
Female,Off (No webcam available),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Headache, Other",Yes,Black board teaching,Yes,Online classes,Good
Female,Off (Other reason),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain",Yes,Presentations (ppt),No,Offline classes,
Male,On (All the time),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, No Issue",Yes,Presentations (ppt),Yes,Offline classes,Nothing
Male,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,
Female,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,
Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,It is of no use as most of them at home would not prefer as they would get distracted easily 
Female,On (All the time),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,Yes,Offline classes,Good
Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
Female,On (When teacher asks),Off (Do not want to reply),"Phone, Tab, Laptop",No Issue,Yes,Presentations (ppt),Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,
Male,Off (Other reason),On (To answer Teacher),"Tab, Laptop",No Issue,Yes,Black board teaching,Yes,Online classes,
Male,On (When teacher asks),Always On,Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,It's a sheer acceptance of stress and strain on eyes as students are already over the mobiles and in additional to the online education they are attached more to the mobile
Female,Off (No webcam available),On (To answer Teacher),Tab,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,No,Presentations (ppt),No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain",No,Presentations (ppt),Yes,Online classes,"I expected alot from teaching online,but the explanation and understanding is bad compare to offline.It is too bore to understand the subject."
Male,Off (No webcam available),On (To answer Teacher),"Phone, Tab, Computer",Eye Strain,Yes,Black board teaching,Yes,Offline classes,
Male,On (All the time),Off (Other reason),"Laptop, Computer",No Issue,Yes,Presentations (ppt),Yes,Online classes,In some cases my mic is not working 
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,"
Its just a wa ofy keeping the academics flowing neglecting the students"
Male,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Stress",Yes,Presentations (ppt),Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Offline classes,-
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Other",Yes,Black board teaching,Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Other,No,Black board teaching,Yes,Offline classes,
Male,Off (Untidy appearance),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,Timewaste process
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,No,Offline classes,
Male,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Back pain, Headache, Other",Yes,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop, Computer",Eye Strain,No,Black board teaching,Yes,Online classes,
Male,On (All the time),Off (Other reason),"Laptop, Computer",No Issue,Yes,Presentations (ppt),Yes,Online classes,In some cases my mic is not working 
Female,On (All the time),On (To answer Teacher),Tab,Eye Strain,Yes,Presentations (ppt),No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Other,Yes,Black board teaching,Yes,Offline classes,It's cool
Female,On (All the time),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,No,Offline classes,
Female,On (All the time),On (To answer Teacher),Laptop,Headache,No,Presentations (ppt),Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,No,Offline classes,It is better than offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Other",No,Black board teaching,No,Offline classes,
Male,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Bad
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Other",Yes,Black board teaching,No,Offline classes,Faculty need to be trained more regarding the usage of the platform
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,...
Female,On (When teacher asks),On (To answer Teacher),"Tab, Laptop","Eye Strain, Back pain",No,Presentations (ppt),No,Offline classes,
Male,On (All the time),On (To answer Teacher),Phone,No Issue,Yes,Presentations (ppt),Yes,Offline classes,
Male,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop",Headache,No,Black board teaching,No,Offline classes,
Female,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Online classes are an optional way to educate students in this pandemic .. but they need to think about students life .. sitting before phone is ok for 2-3hrs a day but it’s not fine for 6-7 hrs .. some parents won’t understand wht actually going on and they think their kids r wasting tym using social media .. but students are undergoing more and more health issues as they r spending 6-7 hrs on mobile a day to listen classes and the institutions is also giving a lot of assigenemts and homework’s which is causing a lot of burden to students mind 
Female,Off (Other reason),On (To answer Teacher),Laptop,Headache,Yes,Black board teaching,Yes,Offline classes,None
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,No,Offline classes,Offline line classes are more better than the online classes 
Female,Off (Untidy appearance),Off (No mic available),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (Shy to switch on),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Stress",No,Black board teaching,No,Offline classes,
Male,Off (Other reason),Off (Other reason),Laptop,Eye Strain,Yes,Black board teaching,No,Offline classes,Useless
Female,On (When teacher asks),Off (Other reason),"Phone, Laptop","Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
Female,Off (Shy to switch on),Off (Do not want to reply),Laptop,Back pain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,Off (Other reason),On (To answer Teacher),"Phone, Laptop",Eye Strain,Yes,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Worst experience
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),No,Offline classes,Useful if utilized properly
Male,On (All the time),Always On,Laptop,Stress,Yes,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
Male,On (All the time),Always On,Laptop,Stress,Yes,Black board teaching,Yes,Offline classes,
Female,Off (Untidy appearance),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Presentations (ppt),Yes,Online classes,
Female,Off (Untidy appearance),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,Off (Shy to switch on),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Phone,No Issue,No,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),Off (Other reason),Phone,"Eye Strain, Headache, Stress",Yes,Black board teaching,No,Offline classes,Don't want to use Mobile always
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),Off (Other reason),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,It's good but it effect health
Male,Off (No webcam available),Off (No mic available),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),No,Offline classes,
Male,On (All the time),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Female,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),Off (Other reason),"Phone, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,"Classes should be conducted for only 3 hrs per day but teachers are conducting for 6 hrs and its difficult to understand and write at a time they need to send notes etc . And make us rid of online exams  weekly . Teaching way is so fast so we cant understand properly and unable to ask doubts while teaching. 
"
Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Black board teaching,Yes,Offline classes,
Male,On (All the time),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Waste of time and efforts 
Male,Off (Shy to switch on),Off (Do not want to reply),Phone,"Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",Yes,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",No,Black board teaching,Yes,Offline classes,It would be great if breaks are provided.
Male,On (All the time),On (To answer Teacher),Laptop,Back pain,Yes,Presentations (ppt),Yes,Online classes,
Female,Off (Other reason),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Black board teaching,No,Offline classes,
Female,On (All the time),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),Yes,Offline classes,
Female,Off (Other reason),On (To answer Teacher),Laptop,"Headache, Stress",Yes,Black board teaching,No,Offline classes,
Male,On (When teacher asks),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain",No,Black board teaching,No,Offline classes,It is not a good alternative to black board education 
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,
Female,On (All the time),On (To answer Teacher),Tab,No Issue,Yes,Black board teaching,Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Black board teaching,Yes,Offline classes,
Male,Off (No webcam available),On (To answer Teacher),"Phone, Laptop",Headache,Yes,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Female,Off (Untidy appearance),On (To answer Teacher),Tab,"Back pain, No Issue",No,Presentations (ppt),No,Offline classes,
Female,Off (Other reason),On (To answer Teacher),Phone,Eye Strain,No,Black board teaching,No,Offline classes,
Female,Off (Other reason),Off (Other reason),"Phone, Laptop","Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (Other reason),Off (Other reason),"Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Not good at all 
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,No,Offline classes,
Female,Off (Untidy appearance),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,"Tbh,i think it is not good idea or bad idea i think it is just a necessary need and one more thing can't understand anything(time waste and data waste.) "
Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Pls stop the online classes 🙏🏻
Female,On (All the time),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",Yes,Black board teaching,Yes,Offline classes,It's good but strainful
Female,On (When teacher asks),On (To answer Teacher),Tab,Headache,Yes,Black board teaching,Yes,Offline classes,
Female,On (All the time),Always On,"Laptop, Computer","Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,Nice
Male,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Headache",Yes,Presentations (ppt),No,Offline classes,
Male,Off (No webcam available),On (To answer Teacher),Laptop,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,No
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Male,Off (Untidy appearance),On (To answer Teacher),"Phone, Computer","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,Yes,Presentations (ppt),No,Offline classes,"In no option situations, online classes are preferable but under normal circumstances offline blackboard interaction is more influential n good"
Male,On (All the time),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Male,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Stress",Yes,Presentations (ppt),Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,"If that is the best option available for our safety, we go with it. "
Male,Off (No webcam available),On (To answer Teacher),Phone,Back pain,Yes,Presentations (ppt),Yes,Online classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,We cannot feel free and sit in one particular position
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,Yes,Offline classes,-
Male,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,"Faculty are not able to use the zoom platform properly,they require proper training about this."
Male,On (When teacher asks),On (To answer Teacher),Tab,"Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Please stop this online classes and begin ofline
Male,Off (Untidy appearance),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),No,Offline classes,Feeling Uncomfort
Male,Off (Shy to switch on),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",No,Presentations (ppt),No,Offline classes,"Net problem ,distubance in surrounding,and many more making me divert .better to take offline in my opinion"
Female,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",Yes,Presentations (ppt),Yes,Offline classes,Offline classes are much more better where we have presence of mind in attending complete classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Presentations (ppt),Yes,Offline classes,"there are some positive and negatives , hope we try to sort the negatives"
Male,On (When teacher asks),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Insted students getting their classes they are suffering a lot.. Many health issues and more over students are not able to understand. 
Female,On (When teacher asks),On (To answer Teacher),Phone,No Issue,Yes,Black board teaching,Yes,Offline classes,No problems with these classes ....but always the thought comes into mind that offline classes are really best comparing to these online classes....but this is the best option at present pandemic situation
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Offline classes,Good
Female,Off (Untidy appearance),On (To answer Teacher),Phone,Stress,No,Black board teaching,No,Offline classes,
Female,Off (Other reason),Off (Do not want to reply),Laptop,Headache,No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),Off (Other reason),Tab,"Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",No,Black board teaching,No,Offline classes,
Female,Off (No webcam available),On (To answer Teacher),Computer,Back pain,Yes,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Other,Yes,Black board teaching,No,Offline classes,not all good
Female,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,
Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Headache",Yes,Presentations (ppt),Yes,Online classes,"We can't continuously listen to class in online.there are so many issues cme in between online classes. Eg: network problem, system hang,power cut etc. Atleast of 10 min break shoukd be given after everyclass. "
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",No,Black board teaching,Yes,Offline classes,We are not able to concentrate on online classes.For many there are net issues.
Female,Off (Untidy appearance),On (To answer Teacher),Phone,Eye Strain,Yes,Black board teaching,Yes,Offline classes,I think I its necessary to have online classes during this pandemic
Female,Off (No webcam available),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Presentations (ppt),No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Worst 
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes,"It good, strain our eyes back pain and in 1 day is should contain   only 2 to 3 class "
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Back pain,Yes,Presentations (ppt),Yes,Offline classes,its pretty good 
Male,On (All the time),On (To answer Teacher),Laptop,Eye Strain,No,Presentations (ppt),No,Offline classes,
Female,On (When teacher asks),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,No,Offline classes,
Female,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,No,Presentations (ppt),No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab",No Issue,No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,Yes,Online classes,Could be done better if other resources were utilized to present instead of just reading out the PPT
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Stress",No,Black board teaching,No,Offline classes,"Online platform is good only when necessary but not as a habit and it should be interactive not like explaing the ppt and raising polles 
 "
Male,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,Plz stop this online classes 😭
Male,On (All the time),Always On,"Laptop, Computer","Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Stress,No,Black board teaching,No,Offline classes,Paying attention in the class is missing. As their is no perfect monitoring student involves in opening other social media and not listening to class.
